Ekran Boyutu,Ekran KartÄ±,Ekran Kartı,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Garanti Tipi,Hard Disk Kapasitesi,KullanÄ±m AmacÄ±,Kullanım Amacı,Ram (Sistem BelleÄŸi),Ram (Sistem Belleği),SSD Kapasitesi,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ä°ÅŸlemci Tipi,Ä°ÅŸletim Sistemi,Çözünürlük,İşlemci Tipi,İşletim Sistemi,url,price
"15,6 inç",,Nvidia GeForce RTX 3050,,144 Hz,,,,,,32 GB,1 TB,,,,1920 x 1080,Intel Core i7,Free Dos,https://www.trendyol.com//casper/excalibur-g770-1265-dfj0x-b-intel-core-i7-12650h-32gb-ram-1tb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-311975792?advertItems=eyJhZHZlcnRJZCI6IjI3NzBkNDYzLWYxOTUtNGExNS04MzkxLTA2NjJlMWM0MjA3YiIsInNvcnRpbmdTY29yZSI6MC4xMjAxNDAxNjc0Mzc0OTM4MiwiYWRTY29yZSI6MC4wMzUyMzE3MjA2NTYxNTY1NCwiYWRTY29yZXMiOnsiMSI6MC4wMzUyMzE3MjA2NTYxNTY1NCwiMiI6MC4wMzUyMzE3MjA2NTYxNTY1NH0sImNwYyI6My40MTAwMDAwMDAwMDAwMDA2LCJtaW5DcGMiOjAuMDEsImVDcGMiOjMuMjMyMjM2MzkzNDM3NzQzLCJhZHZlcnRTbG90IjozLCJvcmRlciI6MTEsImF0dHJpYnV0ZXMiOiIifQ==,29.999 TL
"15,6 inç",,Intel Iris Graphics,,,Resmi Distribütör Garantili,256 GB,,,,8 GB,256 GB,,,,,Intel Core i5,Windows,https://www.trendyol.com//huawei/matebook-d15-i5-1155g7-islemci-8gb-ram-256gb-ssd-15-6-inc-win-11-laptop-mistik-gumus-p-654278277,14.500 TL
,,,,,,,,,,,,,,,,,,https://www.trendyol.com//lenovo/v15-ryzen-3-7320u-8gb-256-ssd-15-6-freedos-tasinabilir-bilgisayar-82yu00p0tx-p-742227880,9.499 TL
"15,6 inç",,Intel UHD Graphics 600,,,,,,Ofis - İş,,4 GB,120 GB,,,,1366 x 768,Intel Celeron,Windows,https://www.trendyol.com//casper/nirvana-c370-4020-4c00b-intel-celeron-n4020-4gb-ram-120gb-ssd-windows-11-home-15-6-hd-p-358003688,6.939 TL
"15,6 inç",,Intel Iris Graphics,,,,,,Ofis - İş,,32 GB,1 TB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//casper/nirvana-x600-1235-df00x-g-f-intel-core-i5-1235u-32gb-ram-1tb-nvme-ssd-gen4-freedos-p-786588766?advertItems=eyJhZHZlcnRJZCI6IjdmMzViMGE5LWM3NzItNDQ5OC05NmNlLTZhYWI5ZDNkMzJkYyIsInNvcnRpbmdTY29yZSI6MC4xMTMxNzI2MTI3Mzc4NjQyNiwiYWRTY29yZSI6MC4wMzA0MzkxMTA0NzI3OTgzNDcsImFkU2NvcmVzIjp7IjEiOjAuMDMwNDM5MTEwNDcyNzk4MzQ3LCIyIjowLjAzMDQzOTExMDQ3Mjc5ODM0N30sImNwYyI6My43MTgsIm1pbkNwYyI6MC4wMSwiZUNwYyI6My42NTE0OTIxNjg1MTI2MTMsImFkdmVydFNsb3QiOjQsIm9yZGVyIjoxNSwiYXR0cmlidXRlcyI6IiJ9,16.999 TL
"15,6 inç",,Nvidia GeForce RTX 3050,,144 Hz,,,,,,32 GB,1 TB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//casper/excalibur-g770-1245-dfj0x-b-intel-core-i5-12450h-32gb-ram-1tb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-445708761,25.899 TL
"17,3 inç",,Nvidia GeForce RTX 3050 Ti,,,Resmi Distribütör Garantili,,,,,16 GB,500 GB,,,,1920 x 1080,Intel Core i7,Free Dos,https://www.trendyol.com//monster/abra-a7-v13-3-3-intel-core-i7-11800h-16gb-500gb-ssd-rtx3050ti-freedos-17-3-fhd-p-133966693,27.899 TL
"15,6 inç",,Intel UHD Graphics 600,,,Resmi Distribütör Garantili,128 GB,,,,4 GB,SSD Yok,,,,,Intel Celeron,Windows,https://www.trendyol.com//lenovo/ideapad-1-celeron-n4120-4gb-ram-128gb-emmc-15-6-win-11-p-382953334,6.929 TL
"15,6 inç",,Nvidia GeForce RTX 4050,,144 Hz,,,,,,32 GB,1 TB,,,,1920 x 1080,Intel Core i7,Free Dos,https://www.trendyol.com//casper/excalibur-g870-1265-dfa0x-b-intel-core-i7-12650h-32gb-ram-1tb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672157475?advertItems=eyJhZHZlcnRJZCI6IjBlMDdjMThhLThjYjQtNDJhNy1hMWE5LTA3YzA4NjdlOTViOSIsInNvcnRpbmdTY29yZSI6MC4xMTA1MzkzODk1NjU1ODcwNywiYWRTY29yZSI6MC4wMzEwMTU1NDE0MDQ0ODU3MDMsImFkU2NvcmVzIjp7IjEiOjAuMDMxMDE1NTQxNDA0NDg1NzAzLCIyIjowLjAzMTAxNTU0MTQwNDQ4NTcwM30sImNwYyI6My41NjQwMDAwMDAwMDAwMDA1LCJtaW5DcGMiOjAuMDEsImVDcGMiOjMuNTMzNDg3Nzk1OTg0MjY4LCJhZHZlcnRTbG90Ijo1LCJvcmRlciI6MTksImF0dHJpYnV0ZXMiOiIifQ==,35.999 TL
,,,,,,,,,,,,,,,,,,https://www.trendyol.com//acer/aspire3-amd-ryzen-5-7520u-8gb-512gb-ssd-15-6-fhd-windows-11-dizustu-bilgisayar-acer-tr-garantili-p-752965828,10.799 TL
