Ekran Boyutu,Ekran KartÄ±,Ekran Kartı,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Garanti Tipi,Hard Disk Kapasitesi,KullanÄ±m AmacÄ±,Kullanım Amacı,Ram (Sistem BelleÄŸi),Ram (Sistem Belleği),SSD Kapasitesi,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ä°ÅŸlemci Tipi,Ä°ÅŸletim Sistemi,Çözünürlük,İşlemci Tipi,İşletim Sistemi,url,price
"15,6 inç",,Nvidia GeForce RTX 3050,,144 Hz,,,,,,16 GB,512 GB,,,,1920 x 1080,Intel Core i7,Free Dos,https://www.trendyol.com//msi/pulse-gl66-12uck-1013xtr-i7-12700h-16gb-512gb-ssd-15-6-4gb-rtx3050-fdos-p-742082658,38.000 TL
15 inç,,M2 10 Çekirdekli,,,,256 GB,,,,8 GB,256 GB,,,,2880 x 1620,Apple M2,Mac Os,https://www.trendyol.com//apple/15-inch-macbook-air-apple-m2-chip-with-8-core-cpu-and-10-core-gpu-256gb-midnight-p-736178362,44.379 TL
"15,6 inç",,Nvidia GeForce MX350,,,,,,Ofis - İş,,16 GB,512 GB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//dell/inspiron-3511-intel-core-i5-1135g7-16gb-512gb-ssd-mx350-freedos-15-6-fhd-i35114465bua38-p-778123384,16.399 TL
"15,6 inç",,AMD Radeon Graphics,,,,,,Ev - Okul,,16 GB,512 GB,,,,1920 x 1080,AMD Ryzen 7,Free Dos,https://www.trendyol.com//lenovo/ideapad-1-15alc7-amd-ryzen-7-5700u-16gb-512gb-ssd-freedos-15-6-fhd-bilgisayar-82r4006ftr16-p-783322463,12.979 TL
"15,6 inç",,AMD Radeon Graphics,,,Resmi Distribütör Garantili,,,,,8 GB,512 GB,,,,1920 x 1080,AMD Ryzen 3,Free Dos,https://www.trendyol.com//lenovo/v15-82yu00p0tx01-ryzen3-7320u-8gb-512ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-765686017,9.779 TL
"15,6 inç",,Nvidia GeForce RTX 3050,,144 Hz,,,,,,16 GB,512 GB,,,,1920 x 1080,AMD Ryzen 5,Free Dos,https://www.trendyol.com//asus/vivobook-pro-15-m6500qc-hn095-ryzen-5-5600h-16gb-512gb-ssd-4gb-rtx-3050-15-6-full-hd-notebook-p-379307929,24.999 TL
,,Nvidia GeForce RTX 4050,,144 Hz,Resmi Distribütör Garantili,,,,,16 GB,512 GB,,,,1920 x 1080,Intel Core i5,Windows,https://www.trendyol.com//acer/an515-58-i5-12500h-16gb-512gb-ssd-rtx4050-6gb-15-6-144hz-windows-11-home-p-758366675,29.599 TL
,,Nvidia GeForce RTX 3050,,144 Hz,Resmi Distribütör Garantili,,,,,16 GB,512 GB,,,,1920 x 1080,AMD Ryzen 5,Free Dos,https://www.trendyol.com//acer/nitro-5-an515-46-ryzen5-6600h-16-gb-512-gb-ssd-rtx3050-dos-15-6-fhd-notebook-nh-qgxey-001-16-p-474701162,24.499 TL
16 inç,,Intel Iris Graphics,,,Resmi Distribütör Garantili,,,,,16 GB,1 TB,,,,2560 x 1600,Intel Core i9,Windows,https://www.trendyol.com//huawei/matebook-16s-i9-12900h-16gb-1tb-w11h-16-tasinabilir-bilgisayar-cref-x9611t-p-335912096,39.999 TL
"15,6 inç",,Intel Iris Graphics,,,,,,Ofis - İş,,8 GB,500 GB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//casper/nirvana-c600-1135-8v00x-g-f-intel-core-i5-1135g7-8gb-ram-500-nvme-ssd-freedos-p-349213240,14.799 TL
,,,,,,,,,,,,,,,,,,https://www.trendyol.com//huawei/matebook-d16-intel-core-i5-12450h-16gb-512gb-ssd-windows11-home-laptop-huawei-tr-garantili-p-320165197,22.999 TL
,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/vivobook-m1603qa-mb347-amd-ryzen-5-5600h-8gb-256gb-freedos-16-wuxga-p-736751447,15.999 TL
13 inç,,Intel Iris Graphics,,,İthalatçı Garantili,,,,,8 GB,128 GB,,,,2880 x 1800,Intel Core i5,Windows,https://www.trendyol.com//microsoft/surface-pro-9-qch-00007-intel-i5-1235u-13-touch-8gb-128gb-ssd-win11p-gri-1-yil-garanti-p-763086265,39.005 TL
,,,,,,,,,,,,,,,,,,https://www.trendyol.com//dell/inspiron-15-3525-amd-ryzen-5-5625u-8gb-512gb-ssd-15-6-w11-home-laptop-dell-turkiye-garantili-p-304322901,15.934 TL
14 inç,,Paylaşımlı,,,Resmi Distribütör Garantili,,,,,8 GB,512 GB,,,,1920 x 1080,AMD Ryzen 5,Free Dos,https://www.trendyol.com//msi/modern-14-b5m-071xtr-r5-5500u-8gb-ddr4-512gb-ssd-14-fhd-dos-koyu-gri-p-234586331,22.499 TL
"15,6 inç",,Intel UHD Graphics 600,,,Resmi Distribütör Garantili,128 GB,,,,4 GB,256 GB,,,,,Intel Celeron,Free Dos,https://www.trendyol.com//lenovo/ideapad-1-82v7006ntx01-n4120-4gb-128ssd-256ssd-15-6-hd-freedos-tasinabilir-bilgisayar-cnt002-p-778814717,8.440 TL
"15,6 inç",,AMD Radeon Graphics,,,Resmi Distribütör Garantili,512 GB,,,,16 GB,512 GB,,,,,AMD Ryzen 7,Windows,https://www.trendyol.com//huawei/matebook-d15-amd-ryzen-7-5700u-16-gb-512-gb-ssd-radeon-graphics-15-6-inch-w11-home-64bit-gri-p-732708663,22.499 TL
,,Nvidia GeForce RTX 4070,,240 Hz,İthalatçı Garantili,,,,,32 GB,2 TB,,,,2560 x 1600,Intel Core i9,Windows,https://www.trendyol.com//msi/raider-ge78hx-13vg-020us-i9-13950hx-32gb-ram-2tb-nvme-rtx-4070-8gb-gddr6-17-3-240hz-ips-win11-p-743556879,84.599 TL
16 inç,,Nvidia GeForce RTX 3070,,165 Hz,,,,,,32 GB,1 TB,,,,2560 x 1600,AMD Ryzen 7,Free Dos,https://www.trendyol.com//lenovo/legion-5-pro-amd-ryzen-7-6800h-32gb-1tb-ssd-8gb-rtx3070-fdos-16-wqxga-notebook-82rg00l5tr-p-741163706,46.999 TL
,,Nvidia GeForce RTX 2050,,144 Hz,Resmi Distribütör Garantili,,,,,16 GB,512 GB,,,,1920 x 1080,Intel Core i5,Windows,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hf-hn028w03-i5-11400h-16gb-512ssd-rtx2050-15-6-fullhd-w11h-tasinabilir-bil-p-736061798,25.799 TL
"15,6 inç",,Intel Iris Graphics,,,,,,Ofis - İş,,16 GB,512 GB,,,,1920 x 1080,Intel Core i5,Ubuntu,https://www.trendyol.com//dell/inspiron-5510-intel-core-i5-11320h-16gb-512gb-ssd-15-6-tasinabilir-bilgisayar-i55106007u-p-464968715,15.679 TL
,,,,,,,,,,,,,,,,,,https://www.trendyol.com//hp/255-g8-amd-ryzen-5-5500u-32gb-1tb-ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-7n4w6aa8-p-704208348,"14.399,99 TL"
18 inç,,Nvidia GeForce RTX 4070,,240 Hz,,,,,,16 GB,1 TB,,,,2560 x 1600,Intel Core i9,Free Dos,https://www.trendyol.com//asus/rog-strix-g18-g814ji-n6142-i9-13980hx-16-gb-1-tb-ssd-rtx-4070-240-hz-freedos-18-qhd-p-652855933,71.599 TL
"15,6 inç",,Intel HD Graphics,,,,,,Ofis - İş,,16 GB,256 GB,,,,1920 x 1080,Intel Core i3,Free Dos,https://www.trendyol.com//lenovo/ip1-82qd0072tx-03-i3-1215u-16gb-256gb-ssd-15-6-freedos-p-778753053,11.299 TL
"15,6 inç",,Intel UHD Graphics,,,,,,Ev - Okul,,8 GB,256 GB,,,,1920 x 1080,Intel Core i3,Free Dos,https://www.trendyol.com//lenovo/ideapad-1-82qd0072tx-i3-1215u-8gb-256gb-ssd-15-6-freedos-tasinabilir-bilgisayar-p-776739394,10.599 TL
"15,6 inç",,Nvidia GeForce RTX 3050,,144 Hz,,,,,,16 GB,1 TB,,,,1920 x 1080,Intel Core i5,Windows,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hc-i5-11400h-16gb-1tb-ssd-rtx3050-4gb-144hz-w11p-15-6-fhd-hn373-p-661919918,31.150 TL
16 inç,,Nvidia GeForce RTX 4050,,165 Hz,,,,,,16 GB,512 GB,,,,1920 x 1200,Intel Core i7,Free Dos,https://www.trendyol.com//asus/rog-strix-g16-g614ju-n3196-i7-13650hx-16gb-512-gb-ssd-rtx-4050-165-hz-freedos-16-fhd-p-652422381,42.399 TL
"15,6 inç",,AMD Radeon RX6500M,,144 Hz,,,,,,32 GB,512 GB,,,,1920 x 1080,AMD Ryzen 5,Free Dos,https://www.trendyol.com//hp/victus-gaming-laptop-15-fb0015nt-amd-ryzen-5-5600h-32-gb-512gb-ssd-rx6500m-freedos-15-6-fhd-144-p-759418740,23.799 TL
"15,6 inç",,Intel Iris Graphics,,,,,,Ofis - İş,,16 GB,512 GB,,,,1920 x 1080,Intel Core i7,Free Dos,https://www.trendyol.com//lenovo/ideapad-3-i7-1165g7-16gb-512gb-ssd-15-6-fhd-fdos-tasinabilir-bilgisayar-82h803fttx-p-744793697,19.999 TL
"16,1 inç",,Nvidia GeForce RTX 4050,,144 Hz,,,,,,16 GB,512 GB,,,,1920 x 1080,AMD Ryzen 7,Free Dos,https://www.trendyol.com//hp/victus-16-s0022nt-r7-7840hs-16gb-512gb-ssd-rtx4050-6gb-dos-16-1-144hz-notebook-7z588ea-p-739506836,31.799 TL
,,,,,,,,,,,,,,,,,,https://www.trendyol.com//lenovo/legion-5-82jh002jtx-i7-11600h-32gb-512ssd-rtx3060-15-6-wqhd-freedos-tasinabilir-bilgisayar-p-251038225,37.999 TL
"15,6 inç",,Nvidia GeForce RTX 4050,,144 Hz,,,,,,8 GB,512 GB,,,,1920 x 1080,AMD Ryzen 7,Free Dos,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nu-lp051-6gb-rtx4050-ryzen-7-7735hs-8gb-ram-512gb-ssd-15-6-inc-fhd-144hz-p-687843369,29.999 TL
"15,6 inç",,Nvidia GeForce RTX 4060,,144 Hz,,,,,,64 GB,2 TB,,,,1920 x 1080,Intel Core i7,Windows,https://www.trendyol.com//casper/excalibur-g870-1265-exb0r-b-intel-core-i7-12650h-64gb-ram-2tb-nvme-ssd-8gb-rtx4060-windows-11-pro-p-737917516,45.999 TL
16 inç,,Nvidia GeForce RTX 4060,,165 Hz,,,,,,32 GB,1 TB,,,,2560 x 1600,Intel Core i7,Free Dos,https://www.trendyol.com//casper/excalibur-g911-1370-dfb0x-c-intel-core-i7-13700hx-32gb-ddr5-ram-1tb-nvme-ssd-8gb-rtx4060-freedos-p-672182432,48.999 TL
14 inç,,Intel UHD Graphics,,,,,,Ofis - İş,,8 GB,128 GB,,,,1920 x 1080,Intel Celeron,Windows,https://www.trendyol.com//asus/x415ma-ek385w-intel-celeron-n4020-8gb-128gb-ssd-w11h-14-fhd-bilgisayar-canta-p-783950687,9.499 TL
,,,,,,,,,,,,,,,,,,https://www.trendyol.com//apple/macbook-air-m2-cip-16-gb-256-gb-ssd-13-6-uzay-grisi-notebook-z15s00120-p-381593334,45.999 TL
18 inç,,Intel XE Graphics,,,,256 GB,,,,8 GB,256 GB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//asus/vivobook-15-intel-core-i5-1235u-8gb-256gb-ssd-freedos-fhd-tasinabilir-bilgisayar-x1502za-ej1644-p-782352241,14.428 TL
,,,,,,,,,,,,,,,,,,https://www.trendyol.com//huawei/matebook-d14-i3-1115g4-8-gb-256-gb-ssd-uhd-graphics14-full-hd-notebook-p-463984008,13.899 TL
"15,6 inç",,Nvidia GeForce RTX 2050,,144 Hz,,,,,,8 GB,512 GB,,,,1920 x 1080,Intel Core i5,Windows,https://www.trendyol.com//msi/nb-thin-gf63-12ucx-427xtr-i5-12450h-8gb-ddr4-rtx2050-gddr6-4gb-512gb-ssd-15-6-fhd-144hz-dos-p-748468087,24.899 TL
"15,6 inç",,Intel HD Graphics 520,,,Resmi Distribütör Garantili,,,,,4 GB,Yok,,,,1366 x 768,Intel Celeron,Linux,https://www.trendyol.com//asus/x543na-gq289-cel-n3350-4g-1tb-15-6-endless-notebook-p-59378901,9.499 TL
,,,,,,,,,,,,,,,,,,https://www.trendyol.com//acer/a315-59-i5-1235u-8gb-512ssd-2gb-mx550-15-6-fhd-win-11-laptop-mor-p-366935949,16.299 TL
"15,6 inç",,Intel Iris Pro Graphics,,,İthalatçı Garantili,256 GB,,,,8 GB,256 GB,,,,,Intel Core i5,Free Dos,https://www.trendyol.com//samsung/asus-exper-tbook-b1500cepe-bq0991-intel-core-i5-1135g7-8-gb-256-gb-freedos-15-6-fhd-tasinabilir-b-p-778473011,21.499 TL
"15,6 inÃ§",Intel UHD Graphics,,,,,,Ofis - Ä°ÅŸ,,4 GB,,120 GB,1366 x 768,Intel Pentium,Windows,,,,https://www.trendyol.com//casper/nirvana-c370-5030-4c00b-intel-pentium-n5030-4gb-ram-120gb-ssd-windows-11-p-641198528,8.499 TL
"15,6 inç",,Nvidia GeForce RTX 3050,,144 Hz,,,,,,8 GB,500 GB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//casper/excalibur-g770-1245-8vj0x-b-intel-core-i5-12450h-8gb-ram-500-gb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-311975826,25.099 TL
,,Nvidia GeForce RTX 4050,,144 Hz,Resmi Distribütör Garantili,,,,,16 GB,512 GB,,,,1920 x 1080,Intel Core i7,Free Dos,https://www.trendyol.com//msi/katana-17-b12vek-607xtr-i7-12650h-16gb-ddr5-rtx4050-gddr6-6gb-512gb-ssd-17-3-fhd-144hz-dos-p-729865018,50.999 TL
"15,6 inç",,Nvidia GeForce RTX 4060,,144 Hz,,,,,,16 GB,512 GB,,,,1920 x 1080,Intel Core i7,Windows,https://www.trendyol.com//msi/thin-gf63-12vf-632tr-intel-core-i7-12650h-16gb-512gb-ssd-rtx4060-w11-15-6-fhd-144hz-p-770116682,"42.678,88 TL"
"15,6 inç",,Dahili Ekran Kartı,,,,,,Ev - Okul,,8 GB,512 GB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//msi/modern-15-b12mo-624xtr-intel-core-i5-1235u-8gb-ddr4-512gb-ssd-uma-15-6-fhd-freedos-notebook-p-767805447,17.299 TL
16 inç,,M3,,,,,,Ofis - İş,,36 GB,512 GB,,,,3024 x 1964,M3,Mac Os,https://www.trendyol.com//apple/macbook-pro-m3-16-uzay-siyah-36gb-512gb-ssd-mrw23tu-a-p-777662374,107.999 TL
"15,6 inç",,AMD Radeon Graphics,,,Resmi Distribütör Garantili,,,,,4 GB,256 GB,,,,1920 x 1080,AMD Ryzen 5,Free Dos,https://www.trendyol.com//hp/255-g8-7n4w6aagp-ryzen5-5500u-4gb-256ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-781350454,10.049 TL
,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/rog-strix-g16-g614ji-n3188-intel-i7-13650hx-16gb-ddr5-1tb-pcie-ssd-8gb-rtx4070-16-165hz-dos-p-692774287,55.849 TL
,,,,,,,,,,,,,,,,,,https://www.trendyol.com//lenovo/ip-gaming-3-intel-core-i5-11320h-8gb-512gb-ssd-4gb-gtx1650-dos-15-6-fhd-gaming-laptop-82k101fdtx-p-409537501,23.999 TL
"15,6 inç",,Intel Iris Graphics,,,,,,Ofis - İş,,16 GB,1 TB,,,,1920 x 1080,Intel Core i7,Free Dos,https://www.trendyol.com//casper/nirvana-x600-139h-bf00x-g-f-intel-core-i7-11390h-16-gb-ram-1tb-nvme-ssd-gen4-freedos-p-773800628,16.930 TL
"15,6 inç",,AMD Radeon Graphics,,,Resmi Distribütör Garantili,,,,,16 GB,512 GB,,,,1920 x 1080,AMD Ryzen 7,Free Dos,https://www.trendyol.com//lenovo/v15-aba-gen3-amd-ryzen-7-5825u-16gb-512gb-ssd-15-6-inc-full-hd-fdos-82tv004ltxf06-zetta-canta-p-742034848,"15.289,56 TL"
"15,6 inç",,Nvidia GeForce RTX 4050,,144 Hz,,,,,,32 GB,1 TB,,,,1920 x 1080,Intel Core i7,Free Dos,https://www.trendyol.com//casper/excalibur-g870-1265-dfa0x-b-intel-core-i7-12650h-32gb-ram-1tb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672157475,35.999 TL
16 inç,,Dahili Ekran Kartı,,,,,,Tasarım,,16 GB,1 TB,,,,1920 x 1200,Intel Core i7,Windows,https://www.trendyol.com//lenovo/yoga-7-intel-core-i7-1355u-16gb-1tb-ssd-win11-home-16-dokunmatik-ikisi-bir-arada-bilgisayar-p-741193918,52.990 TL
"15,6 inç",,Dahili Ekran Kartı,,,Resmi Distribütör Garantili,1 TB,,,,8 GB,Yok,,,,,AMD E,Free Dos,https://www.trendyol.com//lenovo/v15-82c700dltx-amd-3020e-8gb-1tb-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-112497788,15.555 TL
"17,3 inç",,Nvidia GeForce RTX3060,,144 Hz,,,,,,32 GB,1 TB,,,,1920 x 1080,Intel Core i7,Free Dos,https://www.trendyol.com//msi/katana-gf76-12ue-830xtr-intel-core-i7-12650h-32-gb-1-tb-ssd-rtx3060-freedos-17-3-144hz-p-767731906,42.249 TL
"15,6 inç",,Intel Iris Graphics,,,,,,Ofis - İş,,32 GB,1 TB,,,,1920 x 1080,Intel Core i7,Linux,https://www.trendyol.com//dell/inspiron-3520-intel-core-i7-1255u-32gb-1tb-ssd-ubuntu-15-6-i35201013ua58-p-749890833,"22.530,10 TL"
"15,6 inç",,Intel HD Graphics,,,,,,Ev - Okul,,8 GB,120 GB,,,,1280 x 800,Intel Celeron,Free Dos,https://www.trendyol.com//casper/nirvana-c370-4020-8c00x-intel-celeron-n4020-8gb-ram-120gb-ssd-freedos-p-758653824,8.900 TL
16 inç,,Nvidia GeForce RTX 4080,,240 Hz,,,,,,64 GB,2 TB,,,,2560 x 1600,Intel Core i9,Windows,https://www.trendyol.com//asus/rog-strix-scar-16-g634jz-nm044-gaming-i9-13980hx-64gb-2tb-ssd-rtx4080-16-240hz-qhd-w11pro-p-736900369,"124.178,67 TL"
"15,6 inç",,Nvidia GeForce RTX 4060,,144 Hz,,,,,,16 GB,512 GB,,,,1920 x 1080,AMD Ryzen 7,Free Dos,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nv-lp023-amd-ryzen-7-7735hs-16gb-512gb-ssd-rtx4060-freedos-15-6-34-fhd-p-722861568,38.999 TL
"15,6 inç",,Intel Iris Graphics,,,Resmi Distribütör Garantili,,,,,16 GB,500 GB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//everest/everbook-eb-15r03-i5-1135g7-16gb-500ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-639508634,11.789 TL
"17,3 inç",,Nvidia GeForce RTX 4050,,144 Hz,,,,,,32 GB,1 TB,,,,1920 x 1080,Intel Core i7,Windows,https://www.trendyol.com//monster/abra-a7-v14-6-5-intel-core-i7-13700h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-windows-11-17-3-fhd-144-hz-p-736981820,42.999 TL
"15,6 inç",,Nvidia GeForce RTX 4070,,144 Hz,,,,,,16 GB,512 GB,,,,1920 x 1080,AMD Ryzen 9,Free Dos,https://www.trendyol.com//asus/tuf-gaming-a15-fa507xi-lp041-8gb-rtx4070-140w-ryzen-9-7940hs-16gb-ram-512gb-ssd-15-6-fhd-144hz-p-737000093,52.499 TL
"15,6 inç",,Nvidia GeForce MX330,,,,,,Ofis - İş,,16 GB,512 GB,,,,1920 x 1080,Intel Core i7,Free Dos,https://www.trendyol.com//asus/expertbook-intel-core-i7-1165g7-16gb-512gb-mx330-2gb-freedos-tasinabilir-bilgisayar-p-767338612,26.999 TL
"13,4 inç",,Nvidia GeForce RTX 3050 Ti,,120 Hz,,,,,,16 GB,1 TB,,,,1920 x 1200,Intel Core i9,Windows,https://www.trendyol.com//asus/rog-flow-z13-i9-12900h-13-4-touch-16gb-1tb-ssd-rtx-3050-ti-q-ing-klavye-1yil-asus-tr-garanti-p-785986681,42.949 TL
"15,6 inç",,Nvidia GeForce MX450,,,Resmi Distribütör Garantili,,,,,16 GB,256 GB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//lenovo/thinkbook-15-20ve0071tx05-i5-1135g7-16gb-256ssd-mx450-15-6-fullhd-freedos-tasinabilir-bilgis-p-376214552,17.603 TL
"15,6 inç",,Intel HD Graphics,,,Resmi Distribütör Garantili,,,,,4 GB,256 GB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//asus/x515ea-ej1495-i5-1135g7-4gb-256gb-ssd-15-6-dos-tasinabilir-bilgisayar-p-250183212,12.999 TL
"15,6 inç",,Nvidia GeForce RTX 3050,,144 Hz,,,,,,16 GB,512 GB,,,,1920 x 1080,Intel Core i5,Windows,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hc-i5-11400h-16gb-512gb-ssd-rtx3050-4gb-144hz-w11p-15-6-fhd-hn373-p-661922369,28.999 TL
,,Nvidia GeForce RTX 3050,,144 Hz,,1 TB,,,,24 GB,1 TB,,,,1920 x 1080,Intel Core i5,Windows,https://www.trendyol.com//acer/nitro5-intel-core-i5-11400h-24gb-1tb-4gb-rtx3050-15-6-fhd-w11pro-gaming-pc-p-767864206,27.260 TL
16 inç,,Nvidia GeForce RTX 4070,,165 Hz,,,,,,32 GB,1 TB,,,,2560 x 1600,Intel Core i7,Windows,https://www.trendyol.com//monster/tulpar-t6-v1-1-5-intel-core-i7-13700h-32-gb-ram-1-tb-ssd-8-gb-rtx-4070-windows-11-16-qhd-165-hz-p-742790570,65.499 TL
,,Nvidia GeForce RTX 4060,,144 Hz,Resmi Distribütör Garantili,,,,,16 GB,512 GB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//gigabyte/g5-kf-e3ee313sd-i5-12500h-16gb-512ssd-rtx4060-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-733943511,30.569 TL
Belirtilmemiş,,Dahili Ekran Kartı,,,Resmi Distribütör Garantili,,,,,8 GB,256 GB,,,,1920 x 1080,Intel Core M,Free Dos,https://www.trendyol.com//dell/xps-17-9720-i9-12900hk-64gb-2tb-ssd-6gb-rtx3060-17-touch-w11p-xps179720adlp2100-p-666118556,"168.385,01 TL"
,,,,144 Hz,Resmi Distribütör Garantili,500 GB,,,,16 GB,512 GB,,,,1920 x 1080,Intel Core i5,Windows,https://www.trendyol.com//msi/thin-gf63-12-nesil-core-i5-12450h-rtx3050-4gb-16gb-512gb-ssd-15-6inc-w11-p-779234703,29.900 TL
14 inç,,Intel Iris Graphics,,,,,,Tasarım,,16 GB,512 GB,,,,1920 x 1080,Intel Core i7,Windows,https://www.trendyol.com//acer/aspire-5-spin-14-13-nesil-core-i7-1335u-16gb-512gb-ssd-14inc-w11-dokunmatik-ekran-360-katlanir-p-780291407,33.999 TL
"15,6 inç",,Intel Iris Graphics,,,,,,Ofis - İş,,8 GB,500 GB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//casper/nirvana-f500-1135-8v00x-g-f-intel-core-i5-1135g7-8gb-ram-500gb-nvme-ssd-freedos-p-302299085,13.999 TL
16 inç,,Nvidia GeForce RTX 3050,,,Resmi Distribütör Garantili,,,,,8 GB,512 GB,,,,1920 x 1200,Intel Core i5,Windows,https://www.trendyol.com//asus/vivobook-16x-k3605zc-n1013w-i5-12450h-8gb-512ssd-rtx3050-16-fullhd-w11h-tasinabilir-bilgisaya-p-753697054,25.999 TL
"15,6 inç",,Nvidia GeForce RTX 4060,,144 Hz,,,,,,32 GB,2 TB,,,,1920 x 1080,Intel Core i7,Free Dos,https://www.trendyol.com//casper/g870-1265-dxb0x-b-intel-core-i7-12650h-32gb-ram-2tb-nvme-ssd-8gb-rtx4060-freedos-p-672155829,39.999 TL
"17,3 inç",,Nvidia GeForce RTX 4060,,,Resmi Distribütör Garantili,,,,,16 GB,1 TB,,,,1920 x 1080,AMD Ryzen 7,Free Dos,https://www.trendyol.com//msi/bravo-17-d7vf-069xtr-r7-7735hs-16gb-ddr5-rtx4060-gddr6-8gb-1tb-ssd-17-3-fhd-144hz-dos-p-786660961,41.249 TL
,,,,,,,,,,,,,,,,,,https://www.trendyol.com//casper/nirvana-c500-1115-8v00x-g-f-intel-core-i3-1115g4-8gb-ram-500gb-ssd-gen4-freedos-p-445467357,11.899 TL
,,Nvidia GeForce RTX 3050,,144 Hz,Resmi Distribütör Garantili,,,,,16 GB,512 GB,,,,1920 x 1080,AMD Ryzen 5,Free Dos,https://www.trendyol.com//acer/nitro-5-an515-46-amd-r5-6600h-16gb-512gb-ssd-rtx3050-dos-15-6-fhd-nh-qgxey-001-16-canta-mouse-p-474739723,24.899 TL
,,,,,,,,,,,,,,,,,,https://www.trendyol.com//hp/victus-gaming-laptop-16-s0018nt-r5-7640hs-16gb-1tbssd-rtx4060-dos-16-1-fhd-144hz-notebook-7z4m8ea-p-738421982,34.799 TL
"15,6 inç",,Nvidia GeForce RTX 3070Ti,,144 Hz,,,,,,32 GB,1 TB,,,,1920 x 1080,AMD Ryzen 7,Free Dos,https://www.trendyol.com//acer/nitro-5-an515-46-amd-ryzen-7-6800h-32-gb-1-tb-ssd-rtx-3070ti-8-gb-freedos-15-6-fhd-144-hz-tasi-p-756652764,35.899 TL
"15,6 inç",,Nvidia GeForce RTX 3050,,,Resmi Distribütör Garantili,,,,,8 GB,512 GB,,,,1920 x 1080,Intel Core i7,Free Dos,https://www.trendyol.com//msi/gf63-thin-11uc-616xtr-i7-11800h-8gb-ddr4-rtx3050-gddr6-4gb-512gb-ssd-15-6-fhd-dos-p-237307783,33.799 TL
"15,6 inç",,Nvidia GeForce MX350,,,Resmi Distribütör Garantili,,,,,16 GB,512 GB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//lenovo/v15-82kb09cntx06-i5-1135g7-16gb-512ssd-mx350-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-375710071,19.858 TL
"15,6 inç",,Dahili Ekran Kartı,,,Resmi Distribütör Garantili,,,,,8 GB,1 TB,,,,1920 x 1080,AMD Ryzen 5,Free Dos,https://www.trendyol.com//lenovo/v15-g4-amn-ryzen-5-7520u-8gb-1tb-ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-82yu00q6tx002-p-745410067,11.149 TL
"15,6 inç",,Intel XE Graphics,,,,,,Ofis - İş,,8 GB,256 GB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//lenovo/ideapad-3-15iau7-82rk00tltx-i5-1235u-8g-256g-ssd-15-6-fhd-freedos-tasiyabilir-bilgisayar-p-767812775,12.884 TL
"15,6 inç",,Intel Iris Graphics,,,,,,Ofis - İş,,8 GB,256 GB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//lenovo/thinkpad-e15-g4-i5-1235u-8-gb-256-gb-ssd-fhd-15-6-freedos-21e6006rtx-p-467328207,22.149 TL
16 inç,,Nvidia GeForce RTX 4070,,165 Hz,,,,,,64 GB,2 TB,,,,2560 x 1600,Intel Core i9,Free Dos,https://www.trendyol.com//casper/excalibur-g911-1390-ex70x-c-intel-core-i9-13900hx-64gb-ddr5-ram-2tb-nvme-ssd-8gb-rtx4070-freedos-p-672175511,66.099 TL
